RespondentID	CollectorID	StartDate	EndDate	IP Address	Email Address	First Name	LastName	Custom Data	DNA_RNA_protein sequence	DNA_RNA_Protein structure	Pathways_interactions_networks	Images	Phenotype	Ecological	Other_types	Work_with_large_datasets__now	Work_with_large_datasets__3_years	Updated_analysis_software__important_now	Updated_analysis_software__Your_institution_or_national_service_meets_this_need	Updated_analysis_software__important_3_years	Multi-step_analysis_workflows_or_pipelines__important_now	Multi-step_analysis_workflows_or_pipelines__Your_institution_or_national_service_meets_this_need	Multi-step_analysis_workflows_or_pipelines__important_3_years	High-performance_or_cluster_computing__important_now	High-performance_or_cluster_computing__Your_institution_or_national_service_meets_this_need	High-performance_or_cluster_computing__important_3_years	Cloud_computing__important_now	Cloud_computing__Your_institution_or_national service_meets_this_need	Cloud_computing__important_3_years	Sufficient_data_storage__important_now	Sufficient_data_storage__Your_institution_or_national_service_meets_this_need	Sufficient_data_storage__important_3_years	Data_discovery__important_now	Data_discovery__Your_institution_or_national_service_meets_this_need	Data_discovery__important_3_years	Share_data_with_colleagues__important_now	Share_data_with_colleagues__Your_institution_or_national_service_meets_this_need	Share_data_with_colleagues__important_3_years	Publish_data__important_now	Publish_data__Your_institution_or_national_service_meets_this_need	Publish_data__important_3_years	Data_volume_per_month	Sharing_with_whom_and_how	Training_bioinformatics_and_analysis_support__important_now	Training_bioinformatics_and_analysis_support__Your_institution_or_national_service_meets_this_need	Training_bioinformatics_and_analysis_support__important_3_years	Training_basic_programming_scripting__important_now	Training_basic_programming_scripting__Your_institution_or_national_service_meets_this_need	Training_basic_programming_scripting__important_3_years	Training_data_management_metadata__important_now	Training_data_management_metadata__Your_institution_or_national_service_meets_this_need	Training_data_management_metadata__important_3_years	Training_integrating_multiple_datatypes__important_now	Training_integrating_multiple_datatypes__Your_institution_or_national_service_meets_this_need	Training_integrating_multiple_datatypes__important_3_years	Training_scaling_analysis_cloud_HPC__important_now	Training_scaling_analysis_cloud_HPC__Your_institution_or_national_service_meets_this_need	Training_scaling_analysis_cloud_HPC__important_3_years	Tools_or_workflows_most_like_provided	Bioinformatics_skill_level	Agriculture	Biochemistry	Bioengineering	 Biogeography	Bioinformatics	Biomechanics	Biomedical research	"Biophysics, Biotechnology"	Botany	Cell biology	Cognitive biology	 Conservation biology	Developmental biology	Ecology	Environmental biology	Epidemiology	Evolutionary biology	Genetics	Hematology	Integrative biology	Marine biology	Microbiology	Molecular biology	 Neurobiology	Population biology	Paleontology	Pathology	Physiology	Phytopathology	Psychobiology	Structural biology	Zoology	Other_discipline	Plants	Animals	Microbes	Human	Non-model Organisms	Position	Position_other	Institute	State	Comment	Email_yes	Email_address
4942706630	90226637	08/31/2016 03:02:46	08/31/2016 03:07:02	masked					yes		yes					yes		YES	YES	YES	NO	I don't know	I don't know	NO	I don't know	I don't know	YES	I don't know	YES	YES	YES	YES	NO	I don't know	I don't know	YES	YES	YES	YES	I don't know	YES	10GB	"Collaborators, Clouds"	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	Training on basic computing	Beginner							Biomedical research																												animals		human		Researcher (PI)		UNSW	NSW			masked
4942683485	90226637	08/31/2016 02:32:36	08/31/2016 02:48:46	masked					yes		yes		yes			yes		I don't know	I don't know	I don't know	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	10-100GB	"Colleagues - within my university, other research institutes & universities nationally & internationally"	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	"Training on basic computing & scripting available in all capital cities, specific training on WGS, RNAseq, bioinformatics"	Beginner							Biomedical research				Cognitive biology					Epidemiology		Genetics					Molecular biology	Neurobiology													human		Researcher (PI)		UNSW	NSW			masked
4942673045	90226637	08/31/2016 02:35:42	08/31/2016 02:40:53	masked					yes		yes		yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	with supervisor via shared drive	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	"Tophat and Cufflinks, Kallisto and Sleuth, BCFtools, PennCnv, QunatiSNP, CHAT"	Intermediate					Bioinformatics													Genetics																			human		PhD student		University of Tasmania 	Tas		yes I want to receive the update on the survey findings	masked
4942666987	90226637	08/31/2016 02:25:23	08/31/2016 02:36:34	masked					yes		yes		yes			yes		YES	YES	YES	YES	YES	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	"We aim to share with collaborators. Not sure yet how to share, but systems are in place for sharing."	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	I don't know	NO	I don't know	Don't know.	Beginner										Cell biology																									animals				Researcher (PI)		Victor Chang Cardiac Research Institute	NSW			masked
4942665782	90226637	08/31/2016 02:24:51	08/31/2016 02:35:40	masked					yes	yes	yes				nanopore current traces	yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	"collaborators, repositories, github"	YES	YES	YES	NO	YES	NO	NO	YES	NO	NO	YES	YES	YES	YES	YES	Algorithm benchmarking 	Advanced					Bioinformatics			"Biophysics, Biotechnology"		Cell biology							Evolutionary biology	Genetics		Integrative biology			Molecular biology								Structural biology						human		researcher (post-doc)		Garvan	NSW	Broadening and widening the scope of workshops and their locations	yes I want to receive the update on the survey findings	masked
4942649992	90226637	08/31/2016 02:17:12	08/31/2016 02:23:58	masked									yes		Neurophysiological/Electrophysiological	no		YES	YES	YES	NO	NO	I don't know	NO	NO	I don't know	I don't know	NO	I don't know	YES	YES	YES	NO	I don't know	I don't know	YES	I don't know	YES	NO	I don't know	I don't know	10GB	Possibly other research groups	YES	YES	YES	NO	I don't know	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	NO	I don't know	I don't know	training	Never used bioinformatics tools							Biomedical research																	Neurobiology													human		PhD student		UNSW School of Women's and Children's Health	NSW	I am not entirely sure how much bioinformatics is relevant my research and unsure about what the scope for this field is	yes I want to receive the update on the survey findings	masked
4942632923	90226637	08/31/2016 02:08:06	08/31/2016 02:11:50	masked					yes		yes					yes		YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	Scientific community. By publishing.	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	Pipeline	Advanced		Biochemistry			Bioinformatics		Biomedical research																								Structural biology					microbes	human		researcher (post-doc)		UNSW	NSW		yes I want to receive the update on the survey findings	masked
4942625098	90226637	08/31/2016 01:59:24	08/31/2016 02:06:21	masked											Clinical pathology	yes		YES	YES	YES	NO	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	I don't know	Aboriginal community controlled services + other primary health care services	YES	NO	YES	YES	YES	YES	NO	NO	YES	YES	NO	YES	YES	NO	YES	Training	Beginner							Biomedical research																														human		Researcher (PI)		UNSW the Kirby Institute	NSW	Time poor and stretched	yes I want to receive the update on the survey findings	masked
4942621739	90226637	08/31/2016 01:59:40	08/31/2016 02:04:04	masked					yes	yes						yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	100GB-1TB	Collegees within institute and collaborators in different institutes. 	YES	NO	YES	YES	NO	YES	YES	I don't know	YES	YES	NO	YES	YES	I don't know	YES	NA	Intermediate		Biochemistry																Genetics					Molecular biology														human		researcher (post-doc)			NSW			masked
4942616670	90226637	08/31/2016 01:54:53	08/31/2016 02:00:30	masked					yes							no	Yes	NO	YES	I don't know	NO	YES	YES	NO	YES	YES	NO	I don't know	I don't know	YES	YES	YES	NO	I don't know	YES	YES	YES	YES	YES	YES	YES	10-100GB	"Collaborators, Dropbox or similar institute license program"	NO	NO	YES	NO	NO	YES	NO	I don't know	YES	YES	NO	YES	I don't know	I don't know	I don't know	"Good validated pipelines for analysis of RNAseq, Chipseq, DNA seq data and with presentation tools where it's easy to compare groups and make small edits to the analysis"	Beginner																																	Immunology		animals				researcher (post-doc)		Garvan Institute of Medical Research	NSW			masked
4942575142	90226637	08/31/2016 01:25:07	08/31/2016 01:32:36	masked					yes		yes					yes		I don't know	YES	I don't know	YES	NO	YES	YES	YES	YES	NO	I don't know	I don't know	NO	I don't know	YES	NO	YES	I don't know	YES	YES	YES	YES	YES	YES	10GB	Other colleagues working on the same data. Can all download from the HPC at our uni. 	YES	NO	YES	YES	NO	YES	I don't know	NO	I don't know	I don't know	I don't know	I don't know	YES	NO	YES	"Genome assembly, annotation, analysis pipeline training. "	Beginner																						Microbiology														microbes			PhD student		UNSW	NSW			masked
4942485086	90226637	08/31/2016 00:26:15	08/31/2016 01:39:47	masked					yes				yes			no	yes	I don't know	I don't know	I don't know	YES	I don't know	I don't know	NO	I don't know	YES	NO	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	YES	YES	YES	YES	I don't know	YES	10GB	"People in my group, anyone who is interested"	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	dont know	Beginner	Agriculture																	Genetics																plants					PhD student		Biological Sciences	Tas			masked
4942471661	90226637	08/31/2016 00:20:37	08/31/2016 00:25:02	masked					yes		yes					yes		YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	I don't know	I don't know	YES	YES	YES	YES	YES	YES	100GB-1TB	Other people in the research group. Shared access to the server	YES	NO	YES	YES	NO	I don't know	YES	NO	I don't know	YES	NO	YES	I don't know	I don't know	I don't know	A bioinformatic post-doc would be amazing to help	Beginner																		Genetics					Molecular biology														human		PhD student		Menzies Institute for Medical Research	Tas			masked
4942439674	90226637	08/30/2016 23:56:10	08/31/2016 00:03:33	masked					yes				yes	yes		yes		YES	I don't know	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10GB	everyone	YES	I don't know	YES	YES	I don't know	YES	YES	NO	YES	YES	I don't know	YES	NO	I don't know	YES	update on new methods and software fo transcriptomics and methylomics of non-model organism	Beginner														Ecology			Evolutionary biology																		animals			zebrafish	researcher (post-doc)		UNSW	NSW			masked
4942400718	90226637	08/30/2016 23:31:19	08/30/2016 23:39:43	masked					yes				yes	yes		no	Yes	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	"Interstate colleagues.  Not sure - sometimes remote servers, sometimes dropbox (small amounts)."	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	Training on integrating and co-analysing multiple data types	Beginner									Botany			Conservation biology					Evolutionary biology	Genetics							Population biology									plants					Researcher (PI)		UTAS	Tas		yes I want to receive the update on the survey findings	masked
4940307943	90226637	08/30/2016 08:14:35	08/30/2016 08:18:49	masked					yes							yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	Greater than 1TB	Global partners	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	large data workflows	Intermediate														Ecology							Marine biology	Microbiology												plants	animals	microbes			researcher (post-doc)			NSW			masked
4940284656	90226637	08/30/2016 07:54:19	08/30/2016 08:04:22	masked					yes		yes		yes			yes		YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	I don't know	I don't know	YES	YES	YES	NO	I don't know	I don't know	NO	I don't know	I don't know	I don't know	I don't know	I don't know	100GB-1TB	No one	YES	YES	YES	YES	I don't know	NO	YES	I don't know	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	Bioinformatic data analysis with R to generate plots/diagrams and yield statistical results	Beginner		Biochemistry	Bioengineering		Bioinformatics												Evolutionary biology						Molecular biology												animals		human	Tasmanian Devil	PhD student		UNSW	NSW	no	yes I want to receive the update on the survey findings	masked
4940238893	90226637	08/30/2016 07:28:28	08/30/2016 07:34:10	masked					yes	yes	yes	yes	yes			yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	International and National collaborators	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"de novo genome assembly, RNA seq DEGs etc"	Intermediate	Agriculture																						Molecular biology				Pathology	Physiology						plants				Trifoliums	Researcher (PI)		The University of Western Australia	WA			masked
4940124856	90226637	08/30/2016 06:10:57	08/30/2016 06:16:40	masked					yes							yes		YES	YES	YES	YES	YES	YES	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	I don't know	10-100GB	Only with clients	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	I don't know	YES	YES	MATLAB	Intermediate		Biochemistry			Bioinformatics			"Biophysics, Biotechnology"		Cell biology								Genetics				Microbiology	Molecular biology									Zoology					human		Researcher (PI)		Leucine Rich Bio Pvt LTD	Nepal			masked
4939609132	88068535	08/30/2016 01:07:05	08/30/2016 01:15:51	masked										yes	Sociological and biomedical data	no	yes	NO	I don't know	YES	YES	NO	I don't know	NO	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	100GB-1TB	Other researchers; exchenge of datasets	YES	I don't know	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	I don't know	NO	I don't know	"For group - understanding of data types, reserach data managament. For me - Big Data Technology training"	Intermediate	Agriculture			Biogeography	Bioinformatics		Biomedical research	"Biophysics, Biotechnology"	Botany			Conservation biology		Ecology	Environmental biology	Epidemiology									Population biology									plants	animals	microbes	human		Other (please specify)	Database Manager	MCRI	Vic		yes I want to receive the update on the survey findings	masked
4937213602	88068535	08/29/2016 04:49:16	08/29/2016 04:54:57	masked					yes							yes		YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	I don't know	YES	Greater than 1TB	Collabortaors. Via secure file transfer	YES	YES	YES	YES	NO	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	YES	I don't know	YES	Options for storing data off the internal servers and securely with international collaborators	Intermediate							Biomedical research									Epidemiology		Genetics					Molecular biology				Pathology										human		researcher (post-doc)			Vic		yes I want to receive the update on the survey findings	masked
4920046793	90226637	08/19/2016 07:22:54	08/19/2016 07:32:30	masked					yes		yes					yes		YES	YES	YES	YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	Greater than 1TB	"Collaborators, general public"	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	Standardised LIMS and NGS analysis pipelines	Advanced					Bioinformatics																	Microbiology	Molecular biology										Immunology 		animals	microbes	human		researcher (post-doc)		Monash; Sanger	Vic	Many of the services in these questions are provided at and international level however this is not an option in the answers	yes I want to receive the update on the survey findings	masked
4915499474	88068505	08/17/2016 08:18:29	08/17/2016 08:23:49	masked					yes				yes			yes		YES	NO	YES	YES	NO	YES	YES	I don't know	YES	YES	I don't know	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	Collaborators and public after publishing. Public repositories and private servers.	YES	I don't know	YES	YES	NO	I don't know	YES	NO	YES	YES	NO	YES	YES	I don't know	YES	How to access and set up cloud servers. How to implement pipelines on temporary servers or set up a permanent pipeline that is linked to a larger data storage area.	Intermediate					Bioinformatics											Epidemiology		Genetics				Microbiology	Molecular biology										Phylogenomics			microbes			PhD student		University of Queensland	Qld			masked
4906883310	88068505	8/11/16 23:44	8/11/16 23:55	masked					yes				yes			yes		YES	YES	YES	YES	NO	YES	YES	I don't know	YES	NO	I don't know	I don't know	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	10GB	"Internally with colleagues, externally with collaborators (nationally, private sector, overseas institutions)"	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	I don't know	I don't know	I don't know	"database and data management software combining phenotyping data, logistic of field trials and germplasm generation and high-throughput genotyping and genomic data for breeding"	Beginner	Agriculture																	Genetics					Molecular biology											plants					Researcher (PI)		Australian Centre for Plant Functional Genomics	SA		yes I want to receive the update on the survey findings	masked
4906867324	88068505	8/11/16 23:34	8/11/16 23:42	masked					yes		yes		yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	100GB-1TB	collabortors/wider community	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	epigenomics analysis/problem based learning/training for students & postdocs/biostats	Advanced					Bioinformatics					Cell biology								Genetics		Integrative biology													immunology		animals	microbes	human		Researcher (PI)		SAHMRI	SA		yes I want to receive the update on the survey findings	masked
4902847222	88068568	8/10/16 6:38	8/10/16 6:48	masked						yes						no	Yes	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	NO	YES	YES	NO	YES	YES	I don't know	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	10-100GB	I don't know.	I don't know	I don't know	I don't know	YES	NO	YES	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	YES	NO	YES	Availability of software programs (usually expensive) for molecular modelling.	Beginner							Biomedical research																								Structural biology					microbes	human		researcher (post-doc)			Qld	The cost of HPC computing (e.g. on NCI) should be subsidized by government funding.		masked
4902783102	88068568	8/10/16 5:29	8/10/16 5:36	masked					yes			yes	yes	yes		yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	Greater than 1TB	collaborators and the public via web pages and repositories	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	"GATK, bioconductor, github, R, python"	Intermediate	Agriculture				Bioinformatics				Botany			Conservation biology	Developmental biology	Ecology	Environmental biology		Evolutionary biology	Genetics		Integrative biology			Molecular biology		Population biology			Physiology						plants		microbes			Researcher (PI)		anu	ACT		yes I want to receive the update on the survey findings	masked
4902600186	88068568	8/10/16 2:18	8/10/16 2:21	masked					yes				yes			yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	GenBank	YES	NO	YES	YES	YES	YES	I don't know	I don't know	YES	I don't know	I don't know	I don't know	YES	YES	YES	Bacterial genomics	Intermediate																						Microbiology														microbes			PhD student		University of Western Australia	WA			masked
